,customer_id,txn_date,txn_type,txn_amount
277,40,2020-01-21,deposit,857
278,268,2020-01-11,deposit,744
279,85,2020-01-11,deposit,467
280,401,2020-01-03,deposit,956
281,470,2020-01-08,deposit,942
282,242,2020-01-20,deposit,256
283,295,2020-01-26,deposit,636
284,303,2020-01-18,deposit,433
285,478,2020-01-08,deposit,351
286,2,2020-01-03,deposit,549
287,280,2020-01-03,deposit,273
288,277,2020-01-27,deposit,615
289,434,2020-01-14,deposit,686
290,389,2020-01-04,deposit,632
291,256,2020-01-26,deposit,811
292,216,2020-01-04,deposit,140
293,159,2020-01-04,deposit,669
294,310,2020-01-20,deposit,331
295,495,2020-01-17,deposit,433
296,483,2020-01-18,deposit,481
297,318,2020-01-06,deposit,720
298,314,2020-01-26,deposit,448
299,285,2020-01-22,deposit,360
300,453,2020-01-25,deposit,638
301,424,2020-01-12,deposit,995
302,210,2020-01-19,deposit,708
303,105,2020-01-07,deposit,313
304,177,2020-01-20,deposit,351
305,313,2020-01-29,deposit,710
306,65,2020-01-26,deposit,690
307,124,2020-01-01,deposit,159
308,426,2020-01-15,deposit,282
309,413,2020-01-26,deposit,927
310,386,2020-01-26,deposit,854
311,464,2020-01-17,deposit,953
312,33,2020-01-24,deposit,473
313,113,2020-01-21,deposit,14
314,94,2020-01-01,deposit,902
315,197,2020-01-22,deposit,203
316,164,2020-01-10,deposit,548
317,300,2020-01-21,deposit,672
318,467,2020-01-19,deposit,738
319,7,2020-01-20,deposit,964
320,231,2020-01-20,deposit,122
321,497,2020-01-30,deposit,754
322,211,2020-01-19,deposit,485
323,47,2020-01-22,deposit,203
324,321,2020-01-24,deposit,243
325,83,2020-01-09,deposit,942
326,4,2020-01-07,deposit,458
327,469,2020-01-17,deposit,297
328,329,2020-01-07,deposit,723
329,76,2020-01-04,deposit,641
330,325,2020-01-27,deposit,60
331,35,2020-01-17,deposit,936
332,80,2020-01-25,deposit,795
333,290,2020-01-15,deposit,788
334,181,2020-01-13,deposit,865
335,333,2020-01-08,deposit,537
336,400,2020-01-24,deposit,691
337,149,2020-01-13,deposit,831
338,11,2020-01-19,deposit,60
339,243,2020-01-01,deposit,247
340,347,2020-01-04,deposit,626
341,86,2020-01-03,deposit,12
342,237,2020-01-16,deposit,106
343,229,2020-01-23,deposit,180
344,209,2020-01-23,deposit,160
345,404,2020-01-02,deposit,724
346,220,2020-01-21,deposit,307
347,114,2020-01-19,deposit,743
348,476,2020-01-27,deposit,392
349,273,2020-01-19,deposit,876
350,259,2020-01-04,deposit,744
351,140,2020-01-26,deposit,138
352,208,2020-01-19,deposit,537
353,355,2020-01-21,deposit,367
354,78,2020-01-28,deposit,986
355,232,2020-01-02,deposit,843
356,260,2020-01-26,deposit,899
357,246,2020-01-29,deposit,506
358,24,2020-01-26,deposit,615
359,15,2020-01-25,deposit,379
360,486,2020-01-11,deposit,412
361,340,2020-01-06,deposit,56
362,44,2020-01-19,deposit,71
363,471,2020-01-13,deposit,781
364,459,2020-01-13,deposit,857
365,274,2020-01-02,deposit,801
366,103,2020-01-07,deposit,646
367,101,2020-01-12,deposit,136
368,335,2020-01-14,deposit,663
369,461,2020-01-01,deposit,788
370,34,2020-01-30,deposit,976
371,281,2020-01-06,deposit,616
372,391,2020-01-15,deposit,219
373,45,2020-01-14,deposit,650
374,49,2020-01-04,deposit,432
375,473,2020-01-17,deposit,657
376,448,2020-01-30,deposit,759
377,106,2020-01-24,deposit,456
378,57,2020-01-06,deposit,907
379,151,2020-01-10,deposit,58
380,239,2020-01-18,deposit,771
381,253,2020-01-29,deposit,976
382,163,2020-01-14,deposit,523
383,399,2020-01-13,deposit,780
384,358,2020-01-15,deposit,129
385,31,2020-01-06,deposit,83
386,423,2020-01-18,deposit,164
387,433,2020-01-15,deposit,142
388,170,2020-01-14,deposit,788
389,414,2020-01-08,deposit,445
390,322,2020-01-05,deposit,965
391,186,2020-01-17,deposit,968
392,421,2020-01-09,deposit,205
393,90,2020-01-19,deposit,890
394,379,2020-01-12,deposit,451
395,362,2020-01-28,deposit,416
396,395,2020-01-14,deposit,40
397,482,2020-01-01,deposit,674
398,463,2020-01-21,deposit,881
399,13,2020-01-02,deposit,566
400,42,2020-01-11,deposit,154
401,204,2020-01-28,deposit,749
402,190,2020-01-26,deposit,14
403,228,2020-01-10,deposit,294
404,241,2020-01-01,deposit,161
405,28,2020-01-20,deposit,451
406,336,2020-01-16,deposit,543
407,12,2020-01-13,deposit,202
408,125,2020-01-04,deposit,637
409,360,2020-01-16,deposit,385
410,370,2020-01-13,deposit,363
411,88,2020-01-12,deposit,672
412,446,2020-01-15,deposit,412
413,18,2020-01-17,deposit,757
414,139,2020-01-10,deposit,653
415,127,2020-01-17,deposit,217
416,450,2020-01-11,deposit,890
417,196,2020-01-13,deposit,734
418,54,2020-01-09,deposit,138
419,456,2020-01-07,deposit,753
420,174,2020-01-11,deposit,163
421,51,2020-01-20,deposit,367
422,479,2020-01-23,deposit,320
423,437,2020-01-05,deposit,935
424,175,2020-01-14,deposit,300
425,200,2020-01-29,deposit,997
426,201,2020-01-02,deposit,646
427,29,2020-01-19,deposit,217
428,132,2020-01-10,deposit,14
429,213,2020-01-17,deposit,421
430,79,2020-01-29,deposit,521
431,306,2020-01-27,deposit,402
432,8,2020-01-15,deposit,207
433,294,2020-01-12,deposit,307
434,485,2020-01-03,deposit,524
435,427,2020-01-22,deposit,588
436,222,2020-01-11,deposit,311
437,377,2020-01-18,deposit,637
438,97,2020-01-04,deposit,681
439,283,2020-01-05,deposit,947
440,440,2020-01-03,deposit,45
441,449,2020-01-06,deposit,352
442,251,2020-01-09,deposit,961
443,435,2020-01-01,deposit,627
444,84,2020-01-23,deposit,968
445,498,2020-01-19,deposit,774
446,38,2020-01-21,deposit,367
447,107,2020-01-13,deposit,538
448,183,2020-01-22,deposit,101
449,397,2020-01-06,deposit,973
450,102,2020-01-26,deposit,917
451,182,2020-01-08,deposit,97
452,141,2020-01-15,deposit,934
453,494,2020-01-20,deposit,529
454,252,2020-01-26,deposit,982
455,297,2020-01-25,deposit,469
456,431,2020-01-11,deposit,101
457,324,2020-01-04,deposit,538
458,6,2020-01-11,deposit,831
459,262,2020-01-04,deposit,83
460,341,2020-01-26,deposit,345
461,121,2020-01-01,deposit,335
462,27,2020-01-01,deposit,809
463,248,2020-01-24,deposit,304
464,489,2020-01-15,deposit,556
465,445,2020-01-25,deposit,836
466,145,2020-01-02,deposit,365
467,43,2020-01-28,deposit,318
468,82,2020-01-09,deposit,363
469,315,2020-01-22,deposit,384
470,444,2020-01-10,deposit,669
471,48,2020-01-01,deposit,427
472,425,2020-01-09,deposit,308
473,422,2020-01-25,deposit,356
474,493,2020-01-15,deposit,845
475,457,2020-01-23,deposit,657
476,179,2020-01-05,deposit,19
477,41,2020-01-30,deposit,790
478,39,2020-01-22,deposit,996
479,235,2020-01-07,deposit,723
480,203,2020-01-06,deposit,970
481,119,2020-01-17,deposit,62
482,233,2020-01-03,deposit,187
483,451,2020-01-30,deposit,910
484,392,2020-01-29,deposit,876
485,491,2020-01-08,deposit,18
486,393,2020-01-17,deposit,118
487,115,2020-01-29,deposit,144
488,150,2020-01-04,deposit,69
489,275,2020-01-28,deposit,211
490,438,2020-01-01,deposit,261
491,153,2020-01-18,deposit,754
492,316,2020-01-23,deposit,184
493,349,2020-01-17,deposit,573
494,77,2020-01-08,deposit,120
495,474,2020-01-02,deposit,928
496,224,2020-01-21,deposit,487
497,214,2020-01-14,deposit,325
498,254,2020-01-05,deposit,856
499,189,2020-01-11,deposit,304
500,429,2020-03-02,deposit,256
501,429,2020-03-02,withdrawal,611
502,429,2020-02-14,purchase,128
503,429,2020-02-19,deposit,831
504,429,2020-02-25,purchase,312
505,429,2020-03-02,purchase,164
506,429,2020-04-04,withdrawal,855
507,155,2020-04-04,purchase,501
508,155,2020-01-29,purchase,631
509,155,2020-03-19,deposit,630
510,155,2020-03-28,deposit,494
511,155,2020-03-16,withdrawal,627
512,155,2020-02-20,purchase,751
513,155,2020-02-15,withdrawal,804
514,155,2020-03-29,deposit,890
515,155,2020-03-19,deposit,117
516,155,2020-03-31,withdrawal,100
517,155,2020-03-30,withdrawal,595
518,155,2020-01-24,purchase,717
519,155,2020-03-07,withdrawal,751
520,155,2020-02-29,purchase,899
521,155,2020-01-19,purchase,360
522,155,2020-03-29,withdrawal,494
523,155,2020-04-05,withdrawal,652
524,155,2020-02-04,purchase,295
525,155,2020-02-15,deposit,804
526,398,2020-01-31,deposit,823
527,398,2020-03-24,deposit,635
528,398,2020-01-10,purchase,951
529,398,2020-01-16,withdrawal,195
530,398,2020-02-16,withdrawal,232
531,398,2020-03-24,deposit,874
532,398,2020-01-14,withdrawal,255
533,398,2020-02-27,purchase,874
534,398,2020-03-21,purchase,201
535,398,2020-03-14,withdrawal,817
536,398,2020-03-10,withdrawal,678
537,398,2020-02-14,purchase,902
538,398,2020-02-13,purchase,546
539,398,2020-03-22,purchase,916
540,398,2020-01-23,deposit,523
541,398,2020-02-20,purchase,150
542,398,2020-01-27,purchase,570
543,398,2020-02-02,purchase,38
544,398,2020-03-09,deposit,873
545,255,2020-02-27,deposit,355
546,255,2020-02-16,purchase,479
547,255,2020-01-31,purchase,310
548,255,2020-03-28,purchase,782
549,255,2020-03-10,deposit,105
550,185,2020-03-27,withdrawal,642
551,185,2020-02-14,withdrawal,640
552,185,2020-02-27,purchase,447
553,185,2020-03-08,purchase,401
554,185,2020-04-08,withdrawal,224
555,185,2020-04-22,deposit,884
556,185,2020-03-30,purchase,738
557,185,2020-04-12,deposit,466
558,185,2020-04-12,deposit,825
559,185,2020-03-21,deposit,791
560,185,2020-04-15,withdrawal,917
561,185,2020-04-07,purchase,366
562,185,2020-04-08,purchase,521
563,185,2020-02-04,purchase,193
564,185,2020-04-24,deposit,848
565,185,2020-02-01,deposit,786
566,185,2020-02-10,withdrawal,143
567,185,2020-04-20,purchase,499
568,309,2020-04-09,deposit,740
569,309,2020-04-09,deposit,301
570,309,2020-02-09,deposit,822
571,309,2020-02-02,purchase,898
572,309,2020-02-08,purchase,341
573,309,2020-01-13,purchase,532
574,309,2020-02-17,purchase,812
575,309,2020-01-27,withdrawal,308
576,309,2020-04-05,withdrawal,37
577,309,2020-03-20,deposit,663
578,309,2020-02-15,purchase,69
579,309,2020-04-04,purchase,151
580,309,2020-03-25,purchase,649
581,309,2020-02-19,deposit,96
582,309,2020-01-25,purchase,518
583,309,2020-03-18,deposit,577
584,309,2020-02-22,withdrawal,839
585,312,2020-03-15,withdrawal,994
586,312,2020-03-28,deposit,67
587,312,2020-02-25,deposit,470
588,312,2020-02-05,purchase,942
589,312,2020-04-01,withdrawal,602
590,312,2020-04-15,withdrawal,651
591,312,2020-02-26,deposit,643
592,312,2020-03-13,purchase,794
593,376,2020-03-31,deposit,980
594,376,2020-03-06,purchase,595
595,376,2020-02-27,deposit,25
596,376,2020-03-06,withdrawal,381
597,376,2020-03-27,deposit,815
598,376,2020-01-21,deposit,518
599,376,2020-01-03,withdrawal,77
600,376,2020-02-12,deposit,950
601,376,2020-01-13,deposit,628
602,376,2020-02-21,deposit,892
603,376,2020-01-09,purchase,554
604,376,2020-01-20,purchase,7
605,376,2020-03-12,withdrawal,374
606,376,2020-02-21,deposit,44
607,376,2020-03-18,deposit,427
608,376,2020-02-06,withdrawal,996
609,376,2020-02-29,withdrawal,916
610,376,2020-01-31,deposit,400
611,376,2020-03-12,withdrawal,325
612,376,2020-02-11,deposit,902
613,188,2020-02-24,deposit,699
614,188,2020-04-07,purchase,54
615,188,2020-01-31,withdrawal,72
616,188,2020-02-15,deposit,459
617,188,2020-03-30,purchase,491
618,188,2020-03-10,deposit,587
619,188,2020-01-29,deposit,259
620,188,2020-03-29,withdrawal,314
621,188,2020-02-20,withdrawal,770
622,188,2020-02-11,deposit,809
623,188,2020-03-06,withdrawal,743
624,188,2020-01-22,withdrawal,340
625,188,2020-01-27,withdrawal,632
626,188,2020-04-02,purchase,473
627,138,2020-02-01,deposit,819
628,138,2020-01-23,deposit,758
629,138,2020-03-20,withdrawal,129
630,138,2020-03-22,purchase,750
631,138,2020-02-05,purchase,485
632,138,2020-02-13,deposit,42
633,138,2020-02-24,withdrawal,958
634,138,2020-04-06,purchase,850
635,138,2020-02-07,deposit,604
636,138,2020-03-24,deposit,619
637,138,2020-03-29,deposit,15
638,138,2020-02-29,purchase,64
639,138,2020-01-31,deposit,38
640,138,2020-02-03,withdrawal,954
641,373,2020-01-21,purchase,103
642,373,2020-04-08,deposit,755
643,373,2020-04-12,purchase,875
644,373,2020-03-26,deposit,780
645,373,2020-04-03,deposit,514
646,373,2020-02-15,purchase,216
647,361,2020-02-21,deposit,323
648,361,2020-02-12,deposit,109
649,361,2020-01-12,withdrawal,457
650,169,2020-03-15,withdrawal,3
651,169,2020-01-25,purchase,985
652,169,2020-01-29,deposit,657
653,169,2020-03-09,deposit,737
654,169,2020-02-28,withdrawal,439
655,169,2020-01-14,withdrawal,601
656,169,2020-03-16,deposit,529
657,169,2020-04-08,deposit,897
658,169,2020-02-06,deposit,176
659,169,2020-03-22,purchase,64
660,169,2020-02-19,withdrawal,417
661,169,2020-02-26,deposit,59
662,169,2020-01-19,purchase,268
663,402,2020-03-17,purchase,803
664,402,2020-02-10,deposit,166
665,402,2020-02-18,purchase,45
666,402,2020-01-13,withdrawal,127
667,402,2020-01-19,deposit,805
668,402,2020-01-31,deposit,365
669,60,2020-03-02,deposit,188
670,60,2020-02-01,deposit,857
671,60,2020-03-31,withdrawal,927
672,60,2020-01-26,deposit,113
673,60,2020-01-30,purchase,797
674,60,2020-03-16,withdrawal,674
675,60,2020-04-02,withdrawal,424
676,378,2020-03-21,deposit,353
677,378,2020-03-12,purchase,690
678,378,2020-02-11,deposit,936
679,378,2020-02-14,withdrawal,623
680,378,2020-01-26,purchase,186
681,378,2020-02-05,deposit,392
682,378,2020-01-30,deposit,108
683,378,2020-01-27,deposit,369
684,378,2020-02-26,deposit,145
685,378,2020-03-04,withdrawal,497
686,378,2020-02-26,deposit,428
687,378,2020-02-27,deposit,662
688,383,2020-03-28,withdrawal,725
689,383,2020-04-03,deposit,239
690,383,2020-04-24,withdrawal,141
691,383,2020-04-23,withdrawal,419
692,383,2020-01-29,withdrawal,925
693,383,2020-04-16,deposit,944
694,383,2020-04-19,deposit,907
695,383,2020-02-25,deposit,365
696,383,2020-03-01,purchase,827
697,383,2020-02-01,deposit,606
698,292,2020-03-14,deposit,503
699,292,2020-01-28,withdrawal,218
700,292,2020-01-15,withdrawal,909
701,292,2020-03-23,withdrawal,690
702,292,2020-01-26,purchase,760
703,292,2020-02-23,purchase,46
704,292,2020-02-13,withdrawal,999
705,292,2020-02-27,withdrawal,143
706,292,2020-01-19,purchase,44
707,292,2020-03-02,withdrawal,270
708,292,2020-01-13,withdrawal,289
709,292,2020-03-07,deposit,343
710,292,2020-01-30,purchase,401
711,292,2020-01-19,withdrawal,973
712,63,2020-03-06,withdrawal,151
713,63,2020-02-23,withdrawal,396
714,63,2020-03-12,purchase,618
715,63,2020-03-31,purchase,565
716,63,2020-02-11,deposit,363
717,63,2020-01-25,purchase,225
718,63,2020-02-24,withdrawal,156
719,63,2020-01-16,purchase,88
720,63,2020-03-10,withdrawal,932
721,63,2020-02-08,purchase,432
722,63,2020-01-10,purchase,253
723,63,2020-03-23,withdrawal,727
724,499,2020-02-20,deposit,891
725,499,2020-03-04,purchase,367
726,499,2020-02-17,withdrawal,228
727,499,2020-02-11,purchase,416
728,499,2020-01-20,withdrawal,699
729,499,2020-01-04,deposit,849
730,499,2020-01-15,purchase,71
731,499,2020-01-18,deposit,150
732,499,2020-01-31,deposit,254
733,499,2020-03-17,withdrawal,297
734,499,2020-01-12,withdrawal,934
735,499,2020-03-15,purchase,627
736,499,2020-03-12,deposit,754
737,499,2020-03-01,purchase,279
738,499,2020-02-20,deposit,547
739,499,2020-02-10,deposit,925
740,130,2020-03-27,deposit,864
741,130,2020-01-19,deposit,196
742,130,2020-02-15,purchase,353
743,130,2020-03-13,deposit,753
744,130,2020-02-05,withdrawal,488
745,130,2020-03-01,purchase,971
746,130,2020-01-07,withdrawal,106
747,130,2020-03-04,deposit,646
748,130,2020-01-11,withdrawal,895
749,130,2020-02-05,withdrawal,71
750,441,2020-02-17,withdrawal,195
751,441,2020-04-02,purchase,8
752,441,2020-04-10,purchase,206
753,441,2020-02-24,purchase,190
754,441,2020-03-20,purchase,917
755,441,2020-03-06,withdrawal,229
756,441,2020-01-18,withdrawal,540
757,441,2020-03-24,deposit,856
758,441,2020-01-13,withdrawal,207
759,441,2020-04-04,deposit,392
760,441,2020-02-06,deposit,363
761,441,2020-04-04,purchase,520
762,441,2020-03-25,withdrawal,535
763,441,2020-03-24,deposit,8
764,441,2020-03-16,purchase,634
765,441,2020-02-03,deposit,177
766,441,2020-04-08,withdrawal,24
767,441,2020-03-18,deposit,37
768,441,2020-04-09,deposit,237
769,441,2020-02-05,deposit,919
770,53,2020-04-20,purchase,187
771,53,2020-03-23,withdrawal,881
772,53,2020-04-20,deposit,933
773,53,2020-03-24,deposit,228
774,53,2020-03-21,purchase,285
775,53,2020-02-04,deposit,188
776,53,2020-04-22,deposit,209
777,30,2020-04-01,deposit,392
778,30,2020-02-28,withdrawal,464
779,30,2020-04-24,deposit,547
780,305,2020-02-16,purchase,348
781,305,2020-03-07,deposit,773
782,305,2020-01-17,withdrawal,380
783,305,2020-03-22,withdrawal,613
784,305,2020-01-11,withdrawal,2
785,305,2020-01-16,deposit,366
786,305,2020-03-07,withdrawal,405
787,305,2020-02-04,deposit,517
788,136,2020-03-26,deposit,103
789,136,2020-02-27,deposit,487
790,136,2020-03-11,deposit,53
791,136,2020-01-25,withdrawal,653
792,136,2020-04-09,purchase,710
793,136,2020-03-06,withdrawal,116
794,136,2020-01-12,deposit,19
795,136,2020-01-29,withdrawal,224
796,136,2020-03-24,withdrawal,623
797,136,2020-01-28,deposit,455
798,136,2020-04-02,deposit,194
799,276,2020-01-17,deposit,600
800,276,2020-03-08,deposit,624
801,276,2020-01-13,purchase,922
802,276,2020-02-21,deposit,319
803,276,2020-03-30,purchase,976
804,276,2020-01-09,withdrawal,360
805,276,2020-02-04,deposit,559
806,276,2020-01-13,purchase,465
807,276,2020-02-25,withdrawal,601
808,276,2020-03-01,deposit,189
