,_month,_year,month_year,interest_id,composition,index_value,ranking,percentile_ranking
48,7,2018,07-2018,114,6.25,3.41,48,93.42
49,7,2018,07-2018,6107,8.84,3.39,49,93.28
50,7,2018,07-2018,150,5.3,3.39,49,93.28
51,7,2018,07-2018,60,6.71,3.36,51,93
52,7,2018,07-2018,96,7.21,3.35,52,92.87
53,7,2018,07-2018,22403,12.27,3.33,53,92.73
54,7,2018,07-2018,40,10.86,3.32,54,92.59
55,7,2018,07-2018,19758,6.28,3.32,54,92.59
56,7,2018,07-2018,17730,11.38,3.3,56,92.32
57,7,2018,07-2018,5938,11.63,3.29,57,92.18
58,7,2018,07-2018,4869,6.47,3.29,57,92.18
59,7,2018,07-2018,4897,12.93,3.27,59,91.91
60,7,2018,07-2018,6029,8.72,3.26,60,91.77
61,7,2018,07-2018,31,7.9,3.26,60,91.77
62,7,2018,07-2018,16137,9.65,3.24,62,91.5
63,7,2018,07-2018,6330,6.82,3.22,63,91.36
64,7,2018,07-2018,6334,11.63,3.22,63,91.36
65,7,2018,07-2018,6315,8.14,3.22,63,91.36
66,7,2018,07-2018,4852,6.77,3.2,66,90.95
67,7,2018,07-2018,16,6.24,3.2,66,90.95
68,7,2018,07-2018,6108,6.65,3.17,68,90.67
69,7,2018,07-2018,6206,10.76,3.17,68,90.67
70,7,2018,07-2018,6006,6.26,3.15,70,90.4
71,7,2018,07-2018,6228,10.22,3.15,70,90.4
72,7,2018,07-2018,20768,6.53,3.15,70,90.4
73,7,2018,07-2018,4902,8.17,3.12,73,89.99
74,7,2018,07-2018,6277,11.72,3.1,74,89.85
75,7,2018,07-2018,19757,10.95,3.08,75,89.71
76,7,2018,07-2018,4911,6.87,3.08,75,89.71
77,NULL,NULL,NULL,NULL,7.13,2.84,45,96.23
78,7,2018,07-2018,4910,6.09,3.07,77,89.44
79,7,2018,07-2018,6285,9.97,3.04,78,89.3
80,7,2018,07-2018,11974,7.19,3.02,79,89.16
81,7,2018,07-2018,6219,6.37,3.02,79,89.16
82,7,2018,07-2018,10250,11.4,3.01,81,88.89
83,7,2018,07-2018,6128,6.28,2.98,82,88.75
84,7,2018,07-2018,5946,5.99,2.97,83,88.61
85,7,2018,07-2018,158,7.46,2.97,83,88.61
86,7,2018,07-2018,15935,9.13,2.96,85,88.34
87,7,2018,07-2018,4855,5.99,2.95,86,88.2
88,7,2018,07-2018,149,6.88,2.95,86,88.2
89,7,2018,07-2018,16197,6.13,2.94,88,87.93
90,7,2018,07-2018,11067,5.14,2.93,89,87.79
91,7,2018,07-2018,17674,6.25,2.92,90,87.65
92,7,2018,07-2018,4913,6.76,2.92,90,87.65
93,7,2018,07-2018,56,7.09,2.91,92,87.38
94,7,2018,07-2018,6341,5.68,2.91,92,87.38
95,7,2018,07-2018,6316,6.52,2.91,92,87.38
96,7,2018,07-2018,18647,6.45,2.91,92,87.38
97,7,2018,07-2018,17803,6.21,2.91,92,87.38
98,7,2018,07-2018,23,5.41,2.89,97,86.69
99,7,2018,07-2018,132,7.48,2.88,98,86.56
100,7,2018,07-2018,6365,6.45,2.88,98,86.56
101,7,2018,07-2018,6378,9.64,2.87,100,86.28
102,7,2018,07-2018,17673,8.07,2.86,101,86.15
103,7,2018,07-2018,97,6.41,2.86,101,86.15
104,7,2018,07-2018,7537,7.82,2.86,101,86.15
105,7,2018,07-2018,20764,5.85,2.86,101,86.15
106,7,2018,07-2018,44,6.11,2.85,105,85.6
107,7,2018,07-2018,5,10.82,2.85,105,85.6
108,7,2018,07-2018,6227,6.07,2.85,105,85.6
109,7,2018,07-2018,19,6.57,2.84,108,85.19
110,7,2018,07-2018,93,7.08,2.84,108,85.19
111,7,2018,07-2018,6085,7.08,2.83,110,84.91
112,7,2018,07-2018,6112,9.22,2.82,111,84.77
113,7,2018,07-2018,4873,5.45,2.81,112,84.64
114,7,2018,07-2018,11975,7.81,2.8,113,84.5
115,7,2018,07-2018,22502,8.24,2.79,114,84.36
116,7,2018,07-2018,86,6.13,2.79,114,84.36
117,7,2018,07-2018,19610,7.56,2.77,116,84.09
118,7,2018,07-2018,20753,5.79,2.76,117,83.95
119,7,2018,07-2018,24,6.54,2.76,117,83.95
120,7,2018,07-2018,20750,5.87,2.76,117,83.95
121,7,2018,07-2018,12133,10.79,2.76,117,83.95
122,7,2018,07-2018,6141,6.34,2.75,121,83.4
123,7,2018,07-2018,6172,5.88,2.75,121,83.4
124,7,2018,07-2018,98,7.64,2.75,121,83.4
125,7,2018,07-2018,125,6.38,2.74,124,82.99
126,7,2018,07-2018,17269,8.64,2.74,124,82.99
127,7,2018,07-2018,4943,8.81,2.73,126,82.72
128,7,2018,07-2018,18996,7.84,2.73,126,82.72
129,7,2018,07-2018,13,6.72,2.73,126,82.72
130,7,2018,07-2018,89,8.48,2.73,126,82.72
131,7,2018,07-2018,169,6.1,2.72,130,82.17
132,7,2018,07-2018,101,7.38,2.72,130,82.17
133,7,2018,07-2018,6087,5.41,2.71,132,81.89
134,7,2018,07-2018,104,5.42,2.71,132,81.89
135,7,2018,07-2018,6284,18.82,2.71,132,81.89
136,7,2018,07-2018,7557,8.17,2.71,132,81.89
137,7,2018,07-2018,37,7.82,2.71,132,81.89
138,7,2018,07-2018,6084,6.97,2.69,137,81.21
139,7,2018,07-2018,8,6.67,2.68,138,81.07
140,7,2018,07-2018,5969,11.15,2.68,138,81.07
141,7,2018,07-2018,39,17.44,2.68,138,81.07
142,7,2018,07-2018,117,6.49,2.67,141,80.66
143,7,2018,07-2018,19298,10.27,2.66,142,80.52
144,7,2018,07-2018,22427,8.04,2.66,142,80.52
145,7,2018,07-2018,85,6.46,2.63,144,80.25
146,7,2018,07-2018,5952,7.11,2.63,144,80.25
147,7,2018,07-2018,164,6.14,2.63,144,80.25
148,7,2018,07-2018,19587,5.85,2.62,147,79.84
149,7,2018,07-2018,33,7.6,2.62,147,79.84
150,7,2018,07-2018,135,7.01,2.61,149,79.56
151,7,2018,07-2018,19588,5.87,2.6,150,79.42
152,7,2018,07-2018,17320,3.98,2.6,150,79.42
153,7,2018,07-2018,77,17.19,2.6,150,79.42
154,7,2018,07-2018,18648,7.1,2.59,153,79.01
155,7,2018,07-2018,5989,5.57,2.57,154,78.88
156,7,2018,07-2018,138,7.3,2.55,155,78.74
157,7,2018,07-2018,18202,7.61,2.55,155,78.74
158,7,2018,07-2018,137,7.94,2.54,157,78.46
159,7,2018,07-2018,4940,5.89,2.53,158,78.33
160,7,2018,07-2018,12277,6.2,2.53,158,78.33
161,7,2018,07-2018,4909,7.01,2.53,158,78.33
162,7,2018,07-2018,4944,8.32,2.53,158,78.33
163,7,2018,07-2018,10008,9.46,2.52,162,77.78
164,7,2018,07-2018,6299,5.71,2.51,163,77.64
165,7,2018,07-2018,20731,5.86,2.51,163,77.64
166,7,2018,07-2018,10838,6.8,2.51,163,77.64
167,7,2018,07-2018,111,7.42,2.51,163,77.64
168,7,2018,07-2018,6127,5.96,2.5,167,77.09
169,7,2018,07-2018,6304,8.31,2.5,167,77.09
170,7,2018,07-2018,61,6.59,2.5,167,77.09
171,7,2018,07-2018,6211,8.09,2.49,170,76.68
172,7,2018,07-2018,66,6.51,2.49,170,76.68
173,7,2018,07-2018,6182,6.57,2.49,170,76.68
174,7,2018,07-2018,151,7.97,2.49,170,76.68
175,7,2018,07-2018,3,6.14,2.47,174,76.13
176,7,2018,07-2018,10976,8.16,2.46,175,75.99
177,7,2018,07-2018,18646,6.85,2.46,175,75.99
178,7,2018,07-2018,21242,7.36,2.46,175,75.99
179,7,2018,07-2018,7453,6.45,2.45,178,75.58
180,7,2018,07-2018,6162,6.32,2.44,179,75.45
181,7,2018,07-2018,128,6.5,2.44,179,75.45
182,7,2018,07-2018,5972,6.58,2.44,179,75.45
183,7,2018,07-2018,6171,8.19,2.43,182,75.03
184,7,2018,07-2018,131,5.09,2.43,182,75.03
185,7,2018,07-2018,21293,7.28,2.43,182,75.03
186,7,2018,07-2018,7461,7,2.43,182,75.03
187,7,2018,07-2018,17785,7.66,2.43,182,75.03
188,7,2018,07-2018,10839,5.59,2.43,182,75.03
189,7,2018,07-2018,4912,7.77,2.43,182,75.03
190,7,2018,07-2018,6318,6.65,2.41,189,74.07
191,7,2018,07-2018,7605,6.82,2.41,189,74.07
192,7,2018,07-2018,4905,5.66,2.41,189,74.07
193,7,2018,07-2018,6023,8.02,2.41,189,74.07
194,7,2018,07-2018,67,6.67,2.4,193,73.53
195,7,2018,07-2018,16138,8.81,2.4,193,73.53
196,7,2018,07-2018,5960,7.86,2.4,193,73.53
197,7,2018,07-2018,6308,7.67,2.4,193,73.53
198,7,2018,07-2018,18621,7.31,2.4,193,73.53
199,7,2018,07-2018,4861,5.29,2.39,198,72.84
200,7,2018,07-2018,12,7.23,2.38,199,72.7
201,7,2018,07-2018,90,5.91,2.38,199,72.7
202,7,2018,07-2018,19630,7.15,2.38,199,72.7
203,7,2018,07-2018,6278,6.18,2.37,202,72.29
204,7,2018,07-2018,70,6.96,2.37,202,72.29
205,7,2018,07-2018,64,8.8,2.37,202,72.29
206,7,2018,07-2018,19579,6.24,2.37,202,72.29
207,7,2018,07-2018,6329,7.63,2.36,206,71.74
208,7,2018,07-2018,5970,9.21,2.36,206,71.74
209,7,2018,07-2018,4907,6.26,2.35,208,71.47
210,7,2018,07-2018,6076,5.75,2.35,208,71.47
211,7,2018,07-2018,18490,7.09,2.33,210,71.19
212,7,2018,07-2018,20767,7.73,2.33,210,71.19
213,7,2018,07-2018,147,6.17,2.33,210,71.19
214,7,2018,07-2018,10837,7.48,2.32,213,70.78
215,7,2018,07-2018,130,7.66,2.32,213,70.78
216,7,2018,07-2018,5914,6.4,2.32,213,70.78
217,7,2018,07-2018,6144,6.61,2.32,213,70.78
218,7,2018,07-2018,88,4.99,2.31,217,70.23
219,7,2018,07-2018,6255,7.55,2.31,217,70.23
220,7,2018,07-2018,27,6.81,2.31,217,70.23
221,7,2018,07-2018,6336,8.5,2.31,217,70.23
222,7,2018,07-2018,5921,7.37,2.29,221,69.68
223,7,2018,07-2018,19879,6.95,2.29,221,69.68
224,7,2018,07-2018,15877,5.77,2.28,223,69.41
225,7,2018,07-2018,21057,10.95,2.28,223,69.41
226,7,2018,07-2018,148,5.49,2.27,225,69.14
227,7,2018,07-2018,32704,8.04,2.27,225,69.14
228,7,2018,07-2018,5951,6.09,2.27,225,69.14
229,7,2018,07-2018,6062,7.33,2.27,225,69.14
230,7,2018,07-2018,4915,6.28,2.26,229,68.59
231,7,2018,07-2018,6133,3.82,2.26,229,68.59
232,7,2018,07-2018,6250,5.54,2.26,229,68.59
233,7,2018,07-2018,6143,5.47,2.26,229,68.59
234,7,2018,07-2018,49,5.09,2.26,229,68.59
235,7,2018,07-2018,6173,7.66,2.25,234,67.9
236,7,2018,07-2018,75,7.23,2.24,235,67.76
237,7,2018,07-2018,19614,5.57,2.24,235,67.76
238,7,2018,07-2018,18781,6.56,2.23,237,67.49
239,7,2018,07-2018,4848,6.49,2.23,237,67.49
240,7,2018,07-2018,6237,7.7,2.23,237,67.49
241,7,2018,07-2018,19760,5.36,2.23,237,67.49
242,7,2018,07-2018,5930,6.17,2.22,241,66.94
243,7,2018,07-2018,6302,7.41,2.22,241,66.94
244,7,2018,07-2018,13496,6.78,2.22,241,66.94
245,7,2018,07-2018,12820,6.07,2.22,241,66.94
246,7,2018,07-2018,4920,5.93,2.21,245,66.39
247,7,2018,07-2018,6115,6.67,2.2,246,66.26
248,7,2018,07-2018,22425,6.41,2.2,246,66.26
249,7,2018,07-2018,73,7.06,2.2,246,66.26
250,7,2018,07-2018,22096,6.56,2.19,249,65.84
251,7,2018,07-2018,6337,7.02,2.19,249,65.84
252,7,2018,07-2018,6265,7.31,2.19,249,65.84
253,7,2018,07-2018,19295,8.44,2.18,252,65.43
254,7,2018,07-2018,18347,7.8,2.18,252,65.43
255,7,2018,07-2018,6343,8.15,2.18,252,65.43
256,7,2018,07-2018,6207,7.81,2.18,252,65.43
257,7,2018,07-2018,18350,6.85,2.18,252,65.43
258,7,2018,07-2018,6064,7.02,2.17,257,64.75
259,7,2018,07-2018,18622,7.44,2.17,257,64.75
260,7,2018,07-2018,141,7.77,2.17,257,64.75
261,7,2018,07-2018,6181,6.11,2.17,257,64.75
262,7,2018,07-2018,6148,7.13,2.17,257,64.75
263,7,2018,07-2018,10977,8.3,2.17,257,64.75
264,7,2018,07-2018,6045,7.42,2.16,263,63.92
265,7,2018,07-2018,6298,5.38,2.16,263,63.92
266,7,2018,07-2018,6145,6.1,2.16,263,63.92
267,7,2018,07-2018,22,6.26,2.16,263,63.92
268,7,2018,07-2018,12132,7.12,2.16,263,63.92
269,7,2018,07-2018,4918,6.29,2.16,263,63.92
270,7,2018,07-2018,17671,5.65,2.15,269,63.1
271,7,2018,07-2018,5906,7.69,2.15,269,63.1
272,7,2018,07-2018,35,5.25,2.14,271,62.83
273,7,2018,07-2018,5911,6.94,2.14,271,62.83
274,7,2018,07-2018,6340,7.44,2.14,271,62.83
275,7,2018,07-2018,21292,7.19,2.13,274,62.41
276,7,2018,07-2018,19250,7.45,2.13,274,62.41
277,7,2018,07-2018,19294,7.22,2.13,274,62.41
278,7,2018,07-2018,163,6.4,2.12,277,62
279,7,2018,07-2018,82,9.99,2.12,277,62
280,7,2018,07-2018,13498,6.42,2.12,277,62
281,7,2018,07-2018,4925,6.4,2.12,277,62
282,7,2018,07-2018,109,6.75,2.12,277,62
283,7,2018,07-2018,6319,7.39,2.12,277,62
284,7,2018,07-2018,33191,3.99,2.11,283,61.18
285,7,2018,07-2018,10365,5.21,2.11,283,61.18
286,7,2018,07-2018,6366,6.6,2.1,285,60.91
287,7,2018,07-2018,4898,14.23,2.1,285,60.91
288,7,2018,07-2018,4894,5.81,2.09,287,60.63
289,7,2018,07-2018,12027,8.32,2.09,287,60.63
290,7,2018,07-2018,5963,5.36,2.09,287,60.63
291,7,2018,07-2018,6260,5.27,2.09,287,60.63
292,7,2018,07-2018,4917,6.1,2.09,287,60.63
293,7,2018,07-2018,7425,7.43,2.09,287,60.63
294,7,2018,07-2018,20817,3.62,2.09,287,60.63
295,7,2018,07-2018,16119,7.93,2.08,294,59.67
296,7,2018,07-2018,5999,5.14,2.08,294,59.67
297,7,2018,07-2018,5907,7.12,2.07,296,59.4
298,7,2018,07-2018,18784,6.92,2.07,296,59.4
299,7,2018,07-2018,65,5.94,2.06,298,59.12
300,7,2018,07-2018,5898,7.85,2.06,298,59.12
301,7,2018,07-2018,6220,7.59,2.06,298,59.12
302,7,2018,07-2018,19296,6.66,2.06,298,59.12
303,7,2018,07-2018,6264,7.7,2.06,298,59.12
304,7,2018,07-2018,6051,5.31,2.06,298,59.12
305,7,2018,07-2018,5918,6.8,2.05,304,58.3
306,7,2018,07-2018,5895,7.89,2.05,304,58.3
307,7,2018,07-2018,12602,7.15,2.04,306,58.02
308,7,2018,07-2018,5901,6.79,2.04,306,58.02
309,7,2018,07-2018,34,8.26,2.03,308,57.75
310,7,2018,07-2018,10988,8.17,2.02,309,57.61
311,7,2018,07-2018,116,6.31,2.02,309,57.61
312,7,2018,07-2018,4866,6.33,2.02,309,57.61
313,7,2018,07-2018,6095,7.5,2.02,309,57.61
314,7,2018,07-2018,6229,7.2,2.02,309,57.61
315,7,2018,07-2018,13421,7.15,2.02,309,57.61
316,7,2018,07-2018,102,7.74,2.01,315,56.79
317,7,2018,07-2018,4919,6.35,2,316,56.65
318,7,2018,07-2018,20814,3.89,2,316,56.65
319,7,2018,07-2018,4904,6.28,2,316,56.65
320,7,2018,07-2018,7527,5.97,1.99,319,56.24
321,7,2018,07-2018,12026,7.21,1.99,319,56.24
322,7,2018,07-2018,4924,5.11,1.98,321,55.97
323,7,2018,07-2018,21061,7.23,1.98,321,55.97
324,7,2018,07-2018,20963,5.78,1.97,323,55.69
325,7,2018,07-2018,6323,6.28,1.97,323,55.69
326,7,2018,07-2018,5944,6.39,1.97,323,55.69
327,7,2018,07-2018,14,3.53,1.97,323,55.69
328,7,2018,07-2018,6221,5.94,1.96,327,55.14
329,7,2018,07-2018,99,6.79,1.96,327,55.14
330,7,2018,07-2018,6210,6.09,1.96,327,55.14
331,7,2018,07-2018,139,6.87,1.96,327,55.14
332,7,2018,07-2018,74,7.37,1.96,327,55.14
333,7,2018,07-2018,19603,6.05,1.95,332,54.46
334,7,2018,07-2018,5924,5.68,1.95,332,54.46
335,7,2018,07-2018,126,3.8,1.95,332,54.46
336,7,2018,07-2018,5920,6.07,1.95,332,54.46
337,7,2018,07-2018,7529,6.5,1.95,332,54.46
338,7,2018,07-2018,95,7.15,1.94,337,53.77
339,7,2018,07-2018,21059,6.66,1.94,337,53.77
340,7,2018,07-2018,162,5.16,1.93,339,53.5
341,7,2018,07-2018,41,6.96,1.93,339,53.5
342,7,2018,07-2018,10972,7.35,1.93,339,53.5
343,7,2018,07-2018,5942,6.29,1.92,342,53.09
344,7,2018,07-2018,22413,6.26,1.92,342,53.09
345,7,2018,07-2018,7540,6.8,1.91,344,52.81
346,7,2018,07-2018,5896,6.09,1.91,344,52.81
347,7,2018,07-2018,22424,6.05,1.9,346,52.54
348,7,2018,07-2018,26,6.01,1.9,346,52.54
349,7,2018,07-2018,19338,7.68,1.9,346,52.54
350,7,2018,07-2018,4847,5.65,1.9,346,52.54
351,7,2018,07-2018,19578,4.14,1.9,346,52.54
352,7,2018,07-2018,6263,4.98,1.89,351,51.85
353,7,2018,07-2018,12490,6.85,1.88,352,51.71
354,7,2018,07-2018,22428,5.59,1.88,352,51.71
355,7,2018,07-2018,21237,5.27,1.88,352,51.71
356,7,2018,07-2018,10980,6.14,1.88,352,51.71
357,7,2018,07-2018,5984,4.9,1.88,352,51.71
358,7,2018,07-2018,6267,6.88,1.87,357,51.03
359,7,2018,07-2018,6235,4.67,1.87,357,51.03
360,7,2018,07-2018,45,6.29,1.87,357,51.03
361,7,2018,07-2018,18620,6.16,1.87,357,51.03
362,7,2018,07-2018,12025,8.45,1.86,361,50.48
363,7,2018,07-2018,43,5.98,1.85,362,50.34
364,7,2018,07-2018,119,6.31,1.85,362,50.34
365,7,2018,07-2018,6266,6.64,1.84,364,50.07
366,7,2018,07-2018,4859,6.48,1.84,364,50.07
367,7,2018,07-2018,6077,4.83,1.83,366,49.79
368,7,2018,07-2018,21058,8.5,1.83,366,49.79
369,7,2018,07-2018,155,4.97,1.82,368,49.52
370,7,2018,07-2018,4857,6.56,1.82,368,49.52
371,7,2018,07-2018,12031,6.67,1.82,368,49.52
372,7,2018,07-2018,10978,6.53,1.81,371,49.11
373,7,2018,07-2018,22419,6.84,1.81,371,49.11
374,7,2018,07-2018,107,8.32,1.81,371,49.11
375,7,2018,07-2018,5913,6,1.81,371,49.11
376,7,2018,07-2018,32703,5.53,1.8,375,48.56
377,7,2018,07-2018,19619,6,1.79,376,48.42
378,7,2018,07-2018,19627,3.98,1.79,376,48.42
379,7,2018,07-2018,17318,4.93,1.78,378,48.15
380,7,2018,07-2018,21060,8.58,1.77,379,48.01
381,7,2018,07-2018,5961,7.12,1.77,379,48.01
382,7,2018,07-2018,5910,5.22,1.77,379,48.01
383,7,2018,07-2018,18997,5.8,1.76,382,47.6
384,7,2018,07-2018,5957,6.08,1.76,382,47.6
385,7,2018,07-2018,83,4.04,1.76,382,47.6
386,7,2018,07-2018,19592,5.08,1.75,385,47.19
387,7,2018,07-2018,160,5.92,1.74,386,47.05
388,7,2018,07-2018,6142,5.5,1.74,386,47.05
389,7,2018,07-2018,87,5.01,1.73,388,46.78
390,7,2018,07-2018,22423,5.33,1.73,388,46.78
391,7,2018,07-2018,6164,5.37,1.72,390,46.5
392,7,2018,07-2018,18352,6.55,1.72,390,46.5
393,7,2018,07-2018,113,5.53,1.71,392,46.23
394,7,2018,07-2018,21236,4.04,1.71,392,46.23
395,7,2018,07-2018,6183,6.71,1.7,394,45.95
396,7,2018,07-2018,21238,4.92,1.7,394,45.95
397,7,2018,07-2018,80,4.47,1.69,396,45.68
398,7,2018,07-2018,6081,5.92,1.69,396,45.68
399,7,2018,07-2018,6208,9.67,1.69,396,45.68
400,7,2018,07-2018,91,5.87,1.69,396,45.68
401,7,2018,07-2018,23778,5.13,1.68,400,45.13
402,7,2018,07-2018,18204,5.93,1.66,401,44.99
403,7,2018,07-2018,17540,5.06,1.66,401,44.99
404,7,2018,07-2018,21239,3.52,1.66,401,44.99
405,7,2018,07-2018,19628,4.66,1.66,401,44.99
406,7,2018,07-2018,18995,4.97,1.66,401,44.99
407,7,2018,07-2018,19590,4.59,1.65,406,44.31
408,7,2018,07-2018,29,5.2,1.65,406,44.31
409,7,2018,07-2018,22095,4.54,1.64,408,44.03
410,7,2018,07-2018,145,4.89,1.64,408,44.03
411,7,2018,07-2018,19297,4.26,1.63,410,43.76
412,7,2018,07-2018,19600,5.21,1.63,410,43.76
413,7,2018,07-2018,10870,3.29,1.62,412,43.48
414,7,2018,07-2018,6160,4.93,1.62,412,43.48
415,7,2018,07-2018,18998,4.12,1.62,412,43.48
416,7,2018,07-2018,6314,3.77,1.62,412,43.48
417,7,2018,07-2018,20815,3.03,1.61,416,42.94
418,7,2018,07-2018,6301,5.58,1.61,416,42.94
419,7,2018,07-2018,48,5.33,1.61,416,42.94
420,7,2018,07-2018,10869,5,1.61,416,42.94
421,7,2018,07-2018,6024,4.7,1.61,416,42.94
422,7,2018,07-2018,6067,4.71,1.6,421,42.25
423,7,2018,07-2018,17672,4.09,1.59,422,42.11
424,7,2018,07-2018,6234,4.26,1.58,423,41.98
425,7,2018,07-2018,7535,4.18,1.58,423,41.98
426,7,2018,07-2018,5958,4.27,1.58,423,41.98
427,7,2018,07-2018,157,4.94,1.58,423,41.98
428,7,2018,07-2018,6305,5.84,1.58,423,41.98
429,7,2018,07-2018,6177,4.41,1.58,423,41.98
430,7,2018,07-2018,6328,5.43,1.58,423,41.98
431,7,2018,07-2018,143,4.68,1.56,430,41.02
432,7,2018,07-2018,4930,4.37,1.56,430,41.02
433,7,2018,07-2018,22411,5.22,1.56,430,41.02
434,7,2018,07-2018,30,3,1.56,430,41.02
435,7,2018,07-2018,10835,5.69,1.56,430,41.02
436,7,2018,07-2018,19617,4.07,1.55,435,40.33
437,7,2018,07-2018,18782,5.64,1.55,435,40.33
438,7,2018,07-2018,5956,4.65,1.54,437,40.05
439,7,2018,07-2018,4928,4.76,1.54,437,40.05
440,7,2018,07-2018,59,3.97,1.53,439,39.78
441,7,2018,07-2018,14901,3.75,1.53,439,39.78
442,7,2018,07-2018,20756,5.29,1.53,439,39.78
443,7,2018,07-2018,55,4,1.53,439,39.78
444,7,2018,07-2018,6321,4.97,1.52,443,39.23
445,7,2018,07-2018,13497,5.37,1.51,444,39.09
446,7,2018,07-2018,6320,4.72,1.51,444,39.09
447,7,2018,07-2018,18619,9.15,1.5,446,38.82
448,7,2018,07-2018,6030,3.85,1.49,447,38.68
449,7,2018,07-2018,168,3.75,1.49,447,38.68
450,7,2018,07-2018,6322,5.67,1.49,447,38.68
451,7,2018,07-2018,134,4.54,1.49,447,38.68
452,7,2018,07-2018,32485,4.31,1.49,447,38.68
453,7,2018,07-2018,17271,3.74,1.49,447,38.68
454,7,2018,07-2018,10284,5.02,1.48,453,37.86
455,7,2018,07-2018,6209,4.45,1.47,454,37.72
456,7,2018,07-2018,10981,5.47,1.47,454,37.72
457,7,2018,07-2018,6169,3.8,1.46,456,37.45
458,7,2018,07-2018,142,4.73,1.46,456,37.45
459,7,2018,07-2018,6131,2.81,1.46,456,37.45
460,7,2018,07-2018,19625,4.32,1.46,456,37.45
461,7,2018,07-2018,28,4.84,1.46,456,37.45
462,7,2018,07-2018,6194,4.39,1.46,456,37.45
463,7,2018,07-2018,19633,3.17,1.45,462,36.63
464,7,2018,07-2018,153,5.08,1.45,462,36.63
465,7,2018,07-2018,10832,4.4,1.45,462,36.63
466,7,2018,07-2018,19606,4.42,1.45,462,36.63
467,7,2018,07-2018,6088,4.28,1.44,466,36.08
468,7,2018,07-2018,19623,4.6,1.44,466,36.08
469,7,2018,07-2018,11065,4.22,1.44,466,36.08
470,7,2018,07-2018,18,3.18,1.44,466,36.08
471,7,2018,07-2018,4916,4.29,1.44,466,36.08
472,7,2018,07-2018,6331,3.49,1.44,466,36.08
473,7,2018,07-2018,4936,4.54,1.44,466,36.08
474,7,2018,07-2018,22426,3.78,1.43,473,35.12
475,7,2018,07-2018,146,3.69,1.43,473,35.12
476,7,2018,07-2018,7534,4.22,1.43,473,35.12
477,7,2018,07-2018,20766,4.33,1.43,473,35.12
478,7,2018,07-2018,62,4.15,1.42,477,34.57
479,7,2018,07-2018,5933,4.37,1.42,477,34.57
480,7,2018,07-2018,5909,3.76,1.42,477,34.57
481,7,2018,07-2018,22093,4.34,1.42,477,34.57
482,7,2018,07-2018,10872,2.62,1.42,477,34.57
483,7,2018,07-2018,124,4.46,1.42,477,34.57
484,7,2018,07-2018,6393,2.91,1.41,483,33.74
