,id,interest_name,interest_summary,created_at,last_modified
63,71,Lawn & Garden Enthusiasts,Consumers reseraching lawn and garden maintenance techniques.,2016-05-26 14:57:59,2018-05-23 11:30:12
64,72,Nurses,People reading websites about nursing lifestyle and career advice.,2016-05-26 14:57:59,2018-05-23 11:30:13
65,73,Mailing & Shipping Shoppers,Consumers shopping for shipping supplies and postage.,2016-05-26 14:57:59,2018-05-23 11:30:12
66,74,Office Supply Shoppers,Individuals in-market for office supplies.,2016-05-26 14:57:59,2018-05-23 11:30:13
67,75,Ink & Toner Shoppers,Consumers shopping for printer ink.,2016-05-26 14:57:59,2018-05-23 11:30:12
68,77,Luxury Retail Shoppers,Consumers shopping for high end fashion apparel and accessories.,2016-05-26 14:57:59,2018-05-23 11:30:12
69,78,Contractors & Construction Professionals,People reading contractor trade publications.,2016-05-26 14:57:59,2018-05-23 11:30:12
70,79,Luxury Travel Researchers,Consumers reading online reviews of luxury travel options.,2016-05-26 14:57:59,2018-05-23 11:30:12
71,80,Democrats,People reading Democratic party advocacy websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
72,81,Republicans,People reading Republican party advocacy websites.,2016-05-26 14:57:59,2018-05-23 11:30:13
73,82,HDTV Researchers,Consumers shopping for a new TV.,2016-05-26 14:57:59,2018-05-23 11:30:12
74,83,Hardware Shoppers,Consumers shopping at hardware and home supply stores.,2016-05-26 14:57:59,2018-05-23 11:30:12
75,84,Reggaeton Fans,People reading about reggaeton music and culture.,2016-05-26 14:57:59,2018-05-23 11:30:13
76,85,Online Movie Downloaders,Consumers downloading feature length movies and TV shows.,2016-05-26 14:57:59,2018-05-23 11:30:13
77,86,Sale Seekers,Consumers researching sales events and special offers.,2016-05-26 14:57:59,2018-05-23 11:30:13
78,87,Theme Park Researchers,Consumers reading online reviews of theme parks and accommodations.,2016-05-26 14:57:59,2018-05-23 11:30:13
79,88,Ski and Snowboard Enthusiasts,Consumers reading reviews of ski resorts and snow reports.,2016-05-26 14:57:59,2019-01-16 09:11:30
80,89,Travel Researchers,Consumers reading reviews of travel destinations.,2016-05-26 14:57:59,2018-05-23 11:30:13
81,90,Coupon Researchers,Consumers researching sales and discount codes.,2016-05-26 14:57:59,2018-05-23 11:30:12
82,91,Parents with Toddlers,People shopping for infant and toddler supplies.,2016-05-26 14:57:59,2018-05-23 11:30:13
83,92,Parents with Kids,People reading about activities for young children.,2016-05-26 14:57:59,2018-05-23 11:30:13
84,93,Young Boomers,People researching sending children to college.,2016-05-26 14:57:59,2018-05-23 11:30:13
85,94,Day Care Users,People researching daycare options.,2016-05-26 14:57:59,2018-05-23 11:30:12
86,95,Stay-at-Home Parents,People reading about child raising advice and activities.,2016-05-26 14:57:59,2018-05-23 11:30:13
87,96,Exercise and Gym Researchers,People researching gyms and health clubs.,2016-05-26 14:57:59,2018-05-23 11:30:12
88,97,Home Kitchen Chefs,Consumers researching recipes.,2016-05-26 14:57:59,2018-05-23 11:30:12
89,98,Restaurant Researchers,Consumers researching local restaurant reviews.,2016-05-26 14:57:59,2018-05-23 11:30:13
90,99,Order-in Eaters,Consumers who order food delivery.,2016-05-26 14:57:59,2018-05-23 11:30:13
91,100,Nutrition Conscious Eaters,Consumer reading about healthy eating options.,2016-05-26 14:57:59,2018-05-23 11:30:13
92,101,Flower & Gift Basket Shoppers,Consumers shopping for flowers and gift baskets.,2016-05-26 14:57:59,2018-05-23 11:30:12
93,102,Plus Size Women,Consumers shopping for plus size womens apparel.,2016-05-26 14:57:59,2018-05-23 11:30:13
94,103,Live Concert Fans,Consumers researching live concerts and music festivals.,2016-05-26 14:57:59,2018-05-23 11:30:12
95,104,Country Music Fans,People reading about country music and country music stars.,2016-05-26 14:57:59,2018-05-23 11:30:12
96,106,Comedy Fans,Consumers of online comedy videos and articles.,2016-05-26 14:57:59,2018-05-23 11:30:12
97,107,Cruise Travel Intenders,Consumers visiting cruise comparison and planning sites.,2016-05-26 14:57:59,2018-05-23 11:30:12
98,108,Pain Medication Users,People researching pain medication options.,2016-05-26 14:57:59,2018-05-23 11:30:13
99,109,Joint Pain Sufferers,People researching joint pain treatment options.,2016-05-26 14:57:59,2018-05-23 11:30:12
100,110,Pain Management Researchers,People researching chronic pain treatment options.,2016-05-26 14:57:59,2018-05-23 11:30:13
101,111,Retirement Planners,People researching retirement living options.,2016-05-26 14:57:59,2018-05-23 11:30:13
102,112,Auto Repair Researchers,Drivers researching how to maintain their cars.,2016-05-26 14:57:59,2018-05-23 11:30:12
103,113,Avid Readers,Readers researching books and long form journalism.,2016-05-26 14:57:59,2018-05-23 11:30:12
104,114,Womens Fashion Magazine Readers,Consumers researching trending womens apparel.,2016-05-26 14:57:59,2018-05-23 11:30:13
105,115,Mens Shoe Shoppers,Consumers in-market for mens shoes.,2016-05-26 14:57:59,2018-05-23 11:30:13
106,116,Home Security Shoppers,Consumers shopping for a home security system.,2016-05-26 14:57:59,2018-05-23 11:30:12
107,117,Boxing Fans,People reading articles and websites about the sport of boxing.,2016-05-26 14:57:59,2018-05-23 11:30:12
108,118,Sleep Disorder Researchers,People researching sleep loss disorders and treatment options.,2016-05-26 14:57:59,2018-05-23 11:30:13
109,119,Mortgage Researchers,People comparing mortgage offers.,2016-05-26 14:57:59,2018-05-23 11:30:13
110,121,Coders & Developers,People reading about software development techniques and products.,2016-05-26 14:57:59,2018-05-23 11:30:12
111,123,Military Servicemembers & Veterans,People visiting websites about military benefits.,2016-05-26 14:57:59,2018-05-23 11:30:13
112,124,Healthcare Discount Shoppers,Consumers researching discounted and tax-free drug offers.,2016-05-26 14:57:59,2018-05-23 11:30:12
113,125,Postal Employees,People buying postal employee uniforms and equipment,2016-05-26 14:57:59,2016-10-28 15:50:51
114,126,Soccer Fans,People who love visiting websites and reading about soccer.,2016-05-26 14:57:59,2018-05-23 11:30:13
115,128,Kitchen & Bathroom Remodelers,Consumers researching kitchen and bath design.,2016-05-26 14:57:59,2018-05-23 11:30:12
116,129,Aftermarket Accessories Shoppers,Consumers shopping for car maintenance products.,2016-05-26 14:57:59,2018-05-23 11:30:12
117,130,Automotive Safety Researchers,Consumers researching car safety ratings.,2016-05-26 14:57:59,2018-05-23 11:30:12
118,131,Android Fans,Readers of Android news and product reviews.,2016-05-26 14:57:59,2018-05-23 11:30:12
119,132,Apple Fans,Readers of Apple news and product reviews.,2016-05-26 14:57:59,2018-05-23 11:30:12
120,133,High End Camera Shoppers - Dupe,Consumers shopping for high end cameras and camera accessories.,2016-05-26 14:57:59,2018-08-22 18:16:37
121,134,Home Printer Shoppers,Consumers shopping for a printer.,2016-05-26 14:57:59,2018-05-23 11:30:12
122,135,Major Appliance Shoppers,Consumers shopping for major home appliances.,2016-05-26 14:57:59,2018-05-23 11:30:12
123,136,Tablet Researchers,Consumers reading reviews and comparing tablet devices.,2016-05-26 14:57:59,2018-05-23 16:19:11
124,137,Online Alcohol Shoppers,Consumers shopping for wine and liquor online.,2016-05-26 14:57:59,2018-05-23 11:30:13
125,138,Home Kitchen Bakers,Consumers researching home baking recipes.,2016-05-26 14:57:59,2018-05-23 11:30:12
126,139,Makeup Researchers,People reading about new beauty products.,2016-05-26 14:57:59,2018-05-23 11:30:12
127,140,Pet Owners,People shopping for pet food and researching pet wellness.,2016-05-26 14:57:59,2018-05-23 11:30:13
128,141,Skin Care Researchers,People reading about skin care techniques.,2016-05-26 14:57:59,2018-05-23 11:30:13
129,142,Credit Card Researchers,Consumers comparing credit card offers.,2016-05-26 14:57:59,2018-05-23 11:30:12
130,143,Health Insurance Researchers,Consumers researching healthcare options.,2016-05-26 14:57:59,2018-05-23 11:30:12
131,145,Property Insurance Researchers,Consumers researching property and homeowner insurance options.,2016-05-26 14:57:59,2018-05-23 11:30:13
132,146,Audio Equipment Researchers,Consumers reading reviews of high end stereo equipment.,2016-05-26 14:57:59,2018-05-23 11:30:12
133,147,Broadway Fans,People researching Broadway show reviews and shopping for tickets.,2016-05-26 14:57:59,2018-05-23 11:30:12
134,148,Celebrity Gossip Fans,Readers of online celebrity gossip websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
135,149,Streaming Radio Listeners,Consumers listening to online streaming music services.,2016-05-26 14:57:59,2018-05-23 11:30:13
136,150,TV Junkies,Consumers researching TV listings.,2016-05-26 14:57:59,2018-05-23 11:30:13
137,151,Big & Tall Men,Consumers shopping for big and tall mens apparel.,2016-05-26 14:57:59,2018-05-23 11:30:12
138,153,Phone Accessory Shoppers,Consumers in-market for phone accessories.,2016-05-26 14:57:59,2018-05-23 11:30:13
139,154,Prepaid Smartphone Shoppers,Consumers in-market for a prepaid smartphone.,2016-05-26 14:57:59,2018-05-23 11:30:13
140,155,Business Travelers,Users of business travel planning and expense reimbursement tools.,2016-05-26 14:57:59,2018-05-23 11:30:12
141,157,Car Rental Shoppers,Consumers making online rental car bookings.,2016-05-26 14:57:59,2018-05-23 11:30:12
142,158,Flight and Hotel Shoppers,Consumers using online airfare comparison tools.,2016-05-26 14:57:59,2018-05-23 11:30:12
143,160,Sightseeing Travelers,Consumers reading online reviews of local attractions and tours.,2016-05-26 14:57:59,2018-05-23 11:30:13
144,161,Travel Reward Points Enthusiasts,Consumers comparing travel rewards programs.,2016-05-26 14:57:59,2018-05-23 11:30:13
145,162,Retirees,People using online retirement discount and health benefits services.,2016-05-26 14:57:59,2018-05-23 11:30:13
146,163,Federal Employees,People visiting government employee benefits websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
147,164,Conservative News Readers,People reading right-leaning financial news websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
148,165,Liberal News Readers,People reading left-leaning financial news websites.,2016-05-26 14:57:59,2018-05-23 11:30:12
149,166,Doves,People reading anti-war publications,2016-05-26 14:57:59,2017-10-20 11:11:02
150,168,Social Conservatives,People reading right-leaning social issues websites.,2016-05-26 14:57:59,2018-05-23 11:30:13
151,169,Social Liberals,People reading left-leaning social issues websites.,2016-05-26 14:57:59,2018-05-23 11:30:13
152,170,Voters,People researching voter registration options.,2016-05-26 14:57:59,2018-05-23 11:30:13
153,171,Shoe Shoppers,Consumers shopping for mass market shoes.,2016-05-26 14:57:59,2018-05-23 11:30:13
154,4847,Readers of Hispanic Content,People reading news from Hispanic media sources.,2016-06-09 16:28:11,2018-05-23 16:19:11
155,4848,Working Parents,People with young children researching daycare options.,2016-06-09 16:28:11,2017-12-27 12:31:08
156,4852,Health & Fitness,,2016-06-09 16:28:11,2017-03-28 11:55:09
157,4855,Entertainment & Tabloid Magazine Readers,Avid readers of online content about the entertainment industry.,2016-06-09 16:28:11,2017-12-07 12:35:47
158,4857,Business Accounting Software Researchers,Professionals researching accounting software products.,2016-06-09 16:28:11,2018-05-23 11:30:12
159,4858,Business Filing Researchers,Professionals researching products and services to file a business.,2016-06-09 16:28:11,2018-05-23 11:30:12
160,4859,Business Logistics Managers,Professionals responsible for day-to-day business logistics.,2016-06-09 16:28:11,2018-05-23 11:30:12
161,4861,IT Decision Makers,Professionals researching and comparing IT solutions.,2016-06-09 16:28:11,2018-05-23 11:30:12
162,4866,Small Business Employees,,2016-06-09 16:28:11,2018-02-27 14:07:23
163,4867,Sweepstakes Enthusiasts,Consumers visiting sweepstakes sites.,2016-06-09 16:28:11,2018-05-23 11:30:13
164,4869,Womens Fitness Enthusiasts,Consumers researching health and fitness trends and techniques for women.,2016-06-09 16:28:11,2018-05-23 11:30:13
165,4870,Tech-Savvy Moms,People reading tech sites geared to mothers.,2016-06-09 16:28:11,2018-05-23 11:30:13
166,4872,Readers of Mexican Content,People reading news from Mexican media sources.,2016-06-09 16:28:11,2018-12-07 11:59:17
167,4873,TV Game Show Fans,People searching for and watching TV game shows online.,2016-06-09 16:28:11,2018-05-23 16:19:11
168,4894,Credit Union Researchers,People researching and comparing credit unions for their financial needs.,2016-08-11 12:08:56,2017-12-27 12:31:08
169,4895,Mature Parents,Parents who had children later in life.,2016-08-11 12:12:27,2018-05-23 11:30:12
170,4896,Streaming Music Enthusiasts,People visiting sites that offer digital music streaming.,2016-08-11 12:12:43,2018-05-23 16:19:11
171,4897,Parents of Teenagers Going to College,People researching and comparing academic programs and college admission applications with their teenagers.,2016-08-11 12:12:51,2017-12-27 12:31:08
172,4898,Cosmetics and Beauty Shoppers,Consumers comparing and shopping for cosmetics and beauty products.,2016-08-11 12:12:57,2017-12-27 12:31:08
173,4899,Readers of Japanese Content,People reading news from Japanese media sources.,2016-08-11 12:13:05,2018-05-23 16:19:11
174,4902,Yogis,Active fans of yoga.,2016-09-07 16:12:46,2018-05-23 11:30:13
175,4903,Asthma Sufferers,People researching asthma trends and treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:12
176,4904,Adult Acne Sufferers,People researching acne trends and treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:12
177,4905,Heartburn Sufferers,People researching heartburn trends and treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:12
178,4906,Sinus Researchers,People researching sinus condition trends and treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:13
179,4907,Headache and Migraine Sufferers,People researching headache and migraine treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:12
180,4908,Back Pain Sufferers,People researching back pain trends and treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:12
181,4909,First Aid Researchers,People researching products and services related to first aid.,2016-09-07 16:12:46,2018-05-23 11:30:12
182,4910,Cholesterol Researchers,People researching cholesterol trends and treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:12
183,4911,Dieters,Consumers reading content about diet and weight loss.,2016-09-07 16:12:46,2018-05-23 11:30:12
184,4912,Vitamin Shoppers,Consumers in-market for vitamins.,2016-09-07 16:12:46,2018-05-23 11:30:13
185,4913,Womens Health Researchers,People researching womens health options.,2016-09-07 16:12:46,2018-05-23 11:30:13
186,4914,Mens Health Researchers,People researching mens health options.,2016-09-07 16:12:46,2018-05-23 11:30:13
187,4915,Food Allergies Researchers,People researching food allergy treatment and alternative food options.,2016-09-07 16:12:46,2018-05-23 11:30:12
188,4916,Arthritis Sufferers,People researching arthritis trends and treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:12
189,4917,Teen Content Readers,People reading sites featuring fashions for teens.,2016-09-07 16:12:46,2018-05-23 11:30:13
190,4918,Gastrointestinal Researchers,People researching gastrointestinal trends and treatment options.,2016-09-07 16:12:46,2018-05-23 11:30:12
191,4919,Military Families,People reading military publications.,2016-09-07 16:12:46,2018-05-23 11:30:13
192,4920,LGBT Activists,People visiting sites advocating LGBT rights.,2016-09-07 16:12:46,2018-05-23 11:30:12
193,4921,Tire Shoppers,Consumers in-market for vehicle tires.,2016-09-07 16:12:46,2018-05-23 11:30:13
194,4924,Surfers,"People reading about surfing sites, techniques and equipment.",2016-09-07 16:12:46,2019-01-16 09:11:30
195,4925,Gun Control Advocates,People visiting sites advocating gun control.,2016-09-07 16:12:46,2018-05-23 11:30:12
196,4926,Gun Rights Advocates,People visiting sites advocating gun rights.,2016-09-07 16:12:46,2018-05-23 11:30:12
197,4927,Immigration Rights Advocates,People visiting sites advocating immigration rights.,2016-09-07 16:12:46,2018-05-23 11:30:12
198,4928,Immigration Control Advocates,People visiting sites advocating immigration control.,2016-09-07 16:12:46,2018-05-23 11:30:12
199,4929,Right Wing Radicals,The Oathkeepers movement.,2016-09-07 16:12:46,2018-05-23 11:30:13
200,4930,Occupy Movement Supporters,People who are interested in the Occupy movement.,2016-09-07 16:12:46,2018-05-23 11:30:13
201,4931,Marijuana Legalization Advocates,People visiting sites advocating the legalization of marijuana.,2016-09-07 16:12:46,2018-05-23 11:30:12
202,4932,Marijuana Prohibition Advocates,People visiting sites advocating the prohibition of marijuana.,2016-09-07 16:12:46,2018-05-23 11:30:12
203,4933,Family Values Advocates,People visiting sites advocating traditional family values.,2016-09-07 16:12:46,2018-05-23 11:30:12
204,4935,Conservative Think Tank Readers,People reading content online related to conservative think tanks.,2016-09-07 16:12:46,2018-05-23 11:30:12
205,4936,Liberal Think Tank Readers,People visiting sites related to liberal think tanks.,2016-09-07 16:12:46,2018-05-23 11:30:12
206,4937,Evangelical Christians,People engaged in Christian online forums.,2016-09-07 16:12:46,2018-05-23 11:30:12
207,4940,Auto-Looking for New Car Purchase or Lease,,2016-10-18 11:50:13,2018-09-07 08:06:38
208,4943,Online Grocery Shoppers,Consumers purchasing groceries online.,2016-10-28 17:25:22,2018-05-23 11:30:13
209,4944,Pre-Measured Grocery Shoppers,Consumers purchasing groceries through a meal delivery service.,2016-10-28 17:25:22,2018-05-23 11:30:13
210,5895,Cardio Health Researchers,People reading news and advice on preventing and treating cardio health issues.,2017-01-05 17:02:35,2017-12-27 12:31:08
211,5896,Orthopedic Health Researchers,People reading news and advice on preventing and treating orthopedic health issues.,2017-01-05 17:02:35,2017-12-27 12:31:08
212,5897,Orthodontics Researchers,People researching and comparing orthodontic practices and treatments.,2017-01-05 17:02:35,2017-12-27 12:31:08
213,5898,Oncology Researchers,People reading news and advice on preventing and treating cancer.,2017-01-05 17:02:36,2017-12-27 12:31:08
214,5900,Dentures,,2017-01-27 17:46:24,2017-01-27 17:46:24
215,5901,Diabetes,,2017-01-27 17:46:30,2017-01-27 17:46:30
216,5904,Truck Drivers,Professionals reading industry news and researching products and services for truck driving and transportation.,2017-02-16 10:24:41,2017-12-27 16:31:20
217,5906,Business Communication Product Researchers,Professionals researching communication and productivity tools.,2017-02-17 12:17:26,2018-05-23 11:30:12
218,5907,Budget Small Business Researchers,Professionals researching budget-friendly options for small businesses.,2017-02-17 12:18:17,2018-05-23 11:30:12
219,5909,Web Design Researchers,Consumers researching creating websites and web design.,2017-02-17 15:23:04,2018-05-23 11:30:13
220,5910,SEO Specialists,Professionals specializing in search engine optimization strategies.,2017-02-17 15:23:52,2018-05-23 11:30:13
221,5911,Credit Score Researchers,People researching and using services to check their credit.,2017-02-17 15:25:24,2017-12-27 12:31:08
222,5913,Spa Goers,Consumers comparing spas and booking appointments online.,2017-02-17 15:42:40,2019-08-26 11:24:44
223,5914,Career Focused Individuals,People researching career development and advancement.,2017-02-17 15:54:06,2018-05-23 11:30:12
224,5916,Shared Work Space Researchers,People researching locations for shared work spaces.,2017-02-17 15:56:15,2017-12-07 12:35:47
225,5917,Caribbean Trip Planners,People researching attractions and accommodations in the Caribbean islands. These consumers are more likely to spend money on travel and local attractions.,2017-02-17 15:57:45,2017-12-07 12:35:47
226,5918,Enterprise Field Services Researchers,Professionals reading industry news on enterprise field services.,2017-02-17 15:58:34,2018-05-23 11:30:12
227,5920,Business Decision Makers,Professionals in leadership positions responsible for making business related decisions.,2017-02-17 16:00:39,2018-05-23 11:30:12
228,5921,Arizona Trip Planners,People researching attractions and accommodations in Arizona. These consumers are more likely to spend money on travel and guided tours.,2017-02-17 16:01:39,2017-12-27 12:31:08
229,5922,Software Directory Researchers,Professionals reading industry news on software directories.,2017-02-17 16:03:54,2018-05-23 11:30:13
230,5924,Cloud Security Researchers,Professionals reading industry news and researching products and services for cloud security.,2017-02-17 16:05:08,2017-12-27 12:31:08
231,5925,Business Incorporating & LLC Filing Researchers,Professionals reading industry news and researching products and services for filing a business or LLC.,2017-02-17 16:05:55,2017-12-27 12:31:08
232,5926,Readers of Data Scientist blogs,Professionals reading industry news about analytics and data science,2017-02-17 16:07:04,2018-05-23 11:30:12
233,5929,Employee Management & HR Researchers,Professionals researching employee management and HR products.,2017-02-21 13:18:44,2018-05-23 11:30:12
234,5930,Tax Filers,Consumers researching products and services to file taxes.,2017-02-21 13:23:44,2017-12-07 12:35:47
235,5933,Supply Chain Professionals,Professionals reading industry news and researching products and services for supply chain.,2017-02-21 13:23:44,2018-05-23 16:19:11
236,5934,Logistics Professionals,Professionals reading industry news and researching products and services for logistics.,2017-02-21 13:23:44,2018-05-23 16:19:11
237,5936,Fishing Enthusiasts,People reading news and techniques on fishing. These consumers are more likely to spend money on fishing gear.,2017-02-21 13:23:44,2017-12-07 12:35:47
238,5938,Costa Rica Trip Planners,"People researching attractions and accommodations in Costa Rica. These consumers are more likely to spend money on flights, hotels, and local attractions.",2017-02-21 13:23:44,2017-12-07 12:35:47
239,5942,Tax Policy Researchers,People researching tax policies and refunds. These consumers are more likely to spend money on tax filing products and services.,2017-02-21 13:23:44,2017-12-27 12:31:08
240,5943,Financial News Readers,People reading financial news and following the latest trends.,2017-02-21 13:23:44,2017-12-07 12:35:47
241,5944,Financial Advisors,Professionals reading industry news and trends on finance.,2017-02-21 13:23:44,2017-12-07 12:35:47
242,5945,Parents of High School Students,People researching academic programs and resources for high schoolers.,2017-02-21 13:23:44,2017-12-27 12:31:08
243,5946,Readers of Filipinos Content,People reading news from Filipino media sources.,2017-02-23 10:47:07,2018-05-23 16:19:11
