,week_date,region,platform,segment,customer_type,transactions,sales
190,31/8/20,EUROPE,Shopify,C1,Existing,118,27732
191,31/8/20,AFRICA,Retail,C1,New,97673,2423159
192,31/8/20,ASIA,Shopify,F3,New,113,15927
193,31/8/20,SOUTH AMERICA,Retail,null,New,1266,44500
194,31/8/20,SOUTH AMERICA,Shopify,F1,New,6,623
195,31/8/20,USA,Retail,C3,New,46838,1769576
196,31/8/20,USA,Retail,C4,New,18774,665292
197,31/8/20,USA,Retail,C4,Existing,40024,2186307
198,31/8/20,USA,Shopify,C2,Existing,1420,277104
199,31/8/20,ASIA,Retail,C2,New,87269,2234801
200,31/8/20,USA,Shopify,null,New,154,25762
201,31/8/20,USA,Shopify,C3,Existing,1501,312519
202,31/8/20,EUROPE,Shopify,C4,Existing,22,4971
203,31/8/20,CANADA,Retail,C3,Existing,62206,3227065
204,31/8/20,CANADA,Shopify,null,Guest,1621,269863
205,31/8/20,AFRICA,Retail,F2,New,65304,2291992
206,31/8/20,EUROPE,Retail,null,Existing,3211,150741
207,31/8/20,ASIA,Shopify,null,New,278,46931
208,31/8/20,EUROPE,Shopify,F1,Existing,138,30015
209,31/8/20,USA,Retail,F2,Existing,96079,5527494
210,31/8/20,USA,Shopify,C1,Existing,739,128749
211,31/8/20,SOUTH AMERICA,Retail,F2,Existing,1098,48912
212,31/8/20,OCEANIA,Retail,null,New,83764,2829225
213,31/8/20,EUROPE,Retail,C3,Existing,14816,815588
214,31/8/20,AFRICA,Shopify,C2,Existing,2568,471837
215,31/8/20,ASIA,Shopify,F3,Existing,1916,372983
216,31/8/20,OCEANIA,Shopify,F1,New,333,48796
217,31/8/20,SOUTH AMERICA,Retail,C2,New,906,25570
218,31/8/20,USA,Retail,null,Existing,14146,694767
219,31/8/20,OCEANIA,Shopify,null,Existing,621,121005
220,31/8/20,AFRICA,Shopify,F2,Existing,4911,944157
221,31/8/20,CANADA,Retail,C1,Existing,56256,2299419
222,31/8/20,OCEANIA,Retail,F2,Existing,345420,18073554
223,31/8/20,USA,Shopify,null,Guest,2647,479002
224,31/8/20,CANADA,Retail,C2,New,14915,458589
225,31/8/20,AFRICA,Shopify,C4,Existing,438,80612
226,31/8/20,AFRICA,Retail,F3,New,69632,2472247
227,31/8/20,OCEANIA,Shopify,C1,New,522,69079
228,31/8/20,SOUTH AMERICA,Retail,F1,New,312,11256
229,31/8/20,EUROPE,Shopify,C2,New,17,2340
230,31/8/20,CANADA,Shopify,F1,New,61,8381
231,31/8/20,OCEANIA,Retail,C3,New,153925,4929679
232,31/8/20,ASIA,Retail,C2,Existing,129513,4917788
233,31/8/20,EUROPE,Shopify,C3,New,12,1924
234,31/8/20,AFRICA,Shopify,null,Existing,376,70596
235,31/8/20,CANADA,Retail,C3,New,29338,1026555
236,31/8/20,CANADA,Shopify,F2,New,98,14789
237,31/8/20,SOUTH AMERICA,Shopify,C2,Existing,134,26393
238,24/8/20,AFRICA,Retail,null,Guest,1548059,44081216
239,24/8/20,USA,Shopify,F2,Existing,1898,397206
240,24/8/20,AFRICA,Shopify,F1,Existing,2592,489706
241,24/8/20,CANADA,Shopify,F2,Existing,1350,258395
242,24/8/20,USA,Retail,F2,New,28566,1082176
243,24/8/20,OCEANIA,Shopify,null,New,430,71730
244,24/8/20,CANADA,Retail,C1,New,30970,809732
245,24/8/20,USA,Shopify,C1,Existing,773,138404
246,24/8/20,EUROPE,Retail,null,Existing,2986,136429
247,24/8/20,CANADA,Retail,C4,Existing,29326,1464490
248,24/8/20,EUROPE,Retail,null,Guest,98743,3383683
249,24/8/20,CANADA,Retail,C4,New,13219,437390
250,24/8/20,USA,Shopify,C4,Existing,167,32507
251,24/8/20,SOUTH AMERICA,Shopify,C4,Existing,5,988
252,24/8/20,SOUTH AMERICA,Shopify,C2,New,46,7823
253,24/8/20,OCEANIA,Retail,C4,New,65546,2023506
254,24/8/20,EUROPE,Retail,F1,New,932,40229
255,24/8/20,SOUTH AMERICA,Shopify,F2,Existing,30,6585
256,24/8/20,EUROPE,Shopify,F1,Existing,132,26362
257,24/8/20,ASIA,Shopify,null,New,318,50284
258,24/8/20,AFRICA,Retail,C3,Existing,287091,14534326
259,24/8/20,SOUTH AMERICA,Retail,F2,Existing,1127,50201
260,24/8/20,AFRICA,Retail,F3,New,69461,2470906
261,24/8/20,CANADA,Retail,F2,New,18109,637913
262,24/8/20,CANADA,Shopify,null,Existing,76,13605
263,24/8/20,ASIA,Retail,C2,Existing,129144,4996901
264,24/8/20,ASIA,Shopify,C4,New,40,6803
265,24/8/20,EUROPE,Shopify,C3,New,14,3295
266,24/8/20,OCEANIA,Shopify,F2,Existing,6502,1307272
267,24/8/20,ASIA,Shopify,C1,New,269,35424
268,24/8/20,OCEANIA,Shopify,C1,Existing,2673,471401
269,24/8/20,USA,Shopify,C1,New,151,21917
270,24/8/20,SOUTH AMERICA,Shopify,C1,New,16,2666
271,24/8/20,SOUTH AMERICA,Retail,F2,New,446,17385
272,24/8/20,USA,Retail,null,New,21594,919265
273,24/8/20,AFRICA,Shopify,F2,Existing,4689,928412
274,24/8/20,CANADA,Shopify,C4,Existing,89,16312
275,24/8/20,EUROPE,Retail,F3,Existing,18657,1116468
276,24/8/20,SOUTH AMERICA,Retail,C2,New,949,29642
277,24/8/20,OCEANIA,Shopify,C2,New,762,126151
278,24/8/20,OCEANIA,Retail,C2,Existing,169736,6645099
279,24/8/20,USA,Retail,F1,Existing,40597,2371526
280,24/8/20,OCEANIA,Shopify,C4,New,96,13461
281,24/8/20,AFRICA,Shopify,C1,New,293,39564
282,24/8/20,CANADA,Shopify,C2,Existing,695,120729
283,24/8/20,AFRICA,Shopify,C1,Existing,1658,270496
284,24/8/20,ASIA,Shopify,C3,New,301,45870
285,24/8/20,CANADA,Shopify,null,New,84,13692
286,24/8/20,AFRICA,Shopify,C4,New,62,10269
287,24/8/20,SOUTH AMERICA,Shopify,null,Existing,5,760
288,24/8/20,CANADA,Shopify,F3,New,27,3387
289,24/8/20,ASIA,Shopify,F2,Existing,2947,567165
290,24/8/20,ASIA,Retail,C3,Existing,244816,11196782
291,24/8/20,USA,Shopify,null,Existing,154,34932
292,24/8/20,OCEANIA,Shopify,C4,Existing,687,125849
293,24/8/20,USA,Retail,C4,Existing,40986,2227688
294,24/8/20,ASIA,Retail,C1,New,134550,3010765
295,24/8/20,SOUTH AMERICA,Retail,F1,Existing,773,31067
296,24/8/20,EUROPE,Shopify,C2,Existing,151,47032
297,24/8/20,SOUTH AMERICA,Retail,null,Existing,314,9372
298,24/8/20,OCEANIA,Retail,C4,Existing,152920,7470104
299,24/8/20,USA,Shopify,C3,Existing,1420,310461
300,24/8/20,EUROPE,Shopify,C4,Existing,20,6265
301,24/8/20,AFRICA,Retail,C2,Existing,113188,4841694
302,24/8/20,ASIA,Retail,C4,New,53411,1547953
303,24/8/20,SOUTH AMERICA,Retail,C1,New,2393,52387
304,24/8/20,USA,Shopify,C2,New,238,36620
305,24/8/20,CANADA,Shopify,C1,Existing,555,89309
306,24/8/20,EUROPE,Retail,C3,Existing,15076,813088
307,24/8/20,SOUTH AMERICA,Shopify,null,New,38,7671
308,24/8/20,SOUTH AMERICA,Retail,C1,Existing,3053,82693
309,24/8/20,AFRICA,Shopify,C2,New,386,58239
310,24/8/20,OCEANIA,Retail,F2,Existing,348114,18083790
311,24/8/20,CANADA,Retail,F1,New,6852,266751
312,24/8/20,EUROPE,Retail,F1,Existing,6739,378826
313,24/8/20,ASIA,Retail,null,New,64558,2208090
314,24/8/20,EUROPE,Retail,F2,New,1652,74178
315,24/8/20,SOUTH AMERICA,Retail,F1,New,292,11098
316,24/8/20,CANADA,Shopify,C3,Existing,799,152027
317,24/8/20,EUROPE,Retail,C1,Existing,14862,625492
318,24/8/20,AFRICA,Shopify,null,Existing,338,66080
319,24/8/20,OCEANIA,Retail,C1,Existing,261672,9346295
320,24/8/20,SOUTH AMERICA,Shopify,C3,New,17,2140
321,24/8/20,CANADA,Shopify,F1,New,55,8698
322,24/8/20,CANADA,Retail,F3,New,19493,680924
323,24/8/20,USA,Retail,C4,New,18943,679544
324,24/8/20,SOUTH AMERICA,Retail,C4,New,279,10733
325,24/8/20,SOUTH AMERICA,Retail,null,New,1202,42883
326,24/8/20,SOUTH AMERICA,Shopify,F1,New,7,1292
327,24/8/20,SOUTH AMERICA,Shopify,F3,Existing,36,8036
328,24/8/20,USA,Shopify,C4,New,28,4463
329,24/8/20,EUROPE,Retail,F2,Existing,14483,840537
330,24/8/20,USA,Retail,F3,New,29273,1096534
331,24/8/20,EUROPE,Shopify,C1,Existing,96,20686
332,24/8/20,OCEANIA,Shopify,null,Guest,10804,1931973
333,24/8/20,USA,Retail,F2,Existing,96492,5452817
334,24/8/20,USA,Shopify,null,New,128,20669
335,24/8/20,USA,Retail,C1,Existing,58184,2456263
336,24/8/20,EUROPE,Retail,C2,New,2918,106346
337,24/8/20,SOUTH AMERICA,Shopify,F2,New,5,641
338,24/8/20,AFRICA,Retail,F2,New,65760,2337007
339,24/8/20,ASIA,Retail,F1,Existing,94451,4573475
340,24/8/20,AFRICA,Retail,F2,Existing,279576,14854110
341,24/8/20,CANADA,Retail,C2,Existing,23267,1015278
342,24/8/20,AFRICA,Retail,C1,Existing,188391,6906988
343,24/8/20,ASIA,Shopify,F2,New,239,34728
344,24/8/20,ASIA,Retail,C3,New,121636,3741035
345,24/8/20,ASIA,Retail,F3,New,90129,2819086
346,24/8/20,CANADA,Retail,F2,Existing,61805,3241876
347,24/8/20,EUROPE,Retail,F3,New,1735,71648
348,24/8/20,ASIA,Shopify,C4,Existing,287,52221
349,24/8/20,SOUTH AMERICA,Shopify,F3,New,4,809
350,24/8/20,EUROPE,Shopify,null,New,14,3630
351,24/8/20,CANADA,Retail,C1,Existing,56667,2280564
352,24/8/20,OCEANIA,Shopify,null,Existing,563,115870
353,24/8/20,AFRICA,Shopify,null,Guest,5776,1033296
354,24/8/20,AFRICA,Shopify,C2,Existing,2603,500046
355,24/8/20,EUROPE,Shopify,F3,Existing,113,29492
356,24/8/20,CANADA,Shopify,C2,New,93,14157
357,24/8/20,SOUTH AMERICA,Retail,F3,Existing,1330,64047
358,24/8/20,USA,Shopify,C3,New,160,26524
359,24/8/20,OCEANIA,Retail,null,Guest,2433987,64142815
360,24/8/20,ASIA,Shopify,C1,Existing,1254,214075
361,24/8/20,AFRICA,Shopify,null,New,311,54039
362,24/8/20,OCEANIA,Retail,F1,Existing,146120,7374481
363,24/8/20,AFRICA,Retail,C4,New,47161,1561210
364,24/8/20,EUROPE,Retail,C2,Existing,9838,469133
365,24/8/20,SOUTH AMERICA,Shopify,C1,Existing,67,11980
366,24/8/20,OCEANIA,Retail,C3,Existing,343102,16616246
367,24/8/20,EUROPE,Shopify,C3,Existing,159,43242
368,24/8/20,ASIA,Retail,F2,Existing,220882,10645503
369,24/8/20,AFRICA,Retail,F3,Existing,407927,22769738
370,24/8/20,ASIA,Retail,F3,Existing,403795,20476242
371,24/8/20,OCEANIA,Retail,F1,New,42198,1524244
372,24/8/20,EUROPE,Shopify,F1,New,6,1407
373,24/8/20,CANADA,Retail,C2,New,15253,528808
374,24/8/20,AFRICA,Shopify,C3,New,315,53692
375,24/8/20,OCEANIA,Shopify,F3,New,192,33223
376,24/8/20,AFRICA,Shopify,C4,Existing,404,78136
377,24/8/20,SOUTH AMERICA,Retail,null,Guest,405864,16290625
378,24/8/20,USA,Retail,C2,New,27156,996924
379,24/8/20,SOUTH AMERICA,Shopify,F1,Existing,64,13714
380,24/8/20,OCEANIA,Retail,C1,New,176101,4182786
381,24/8/20,EUROPE,Shopify,C1,New,14,2836
382,24/8/20,ASIA,Shopify,C2,Existing,2297,413897
383,24/8/20,USA,Shopify,F3,New,52,9137
384,24/8/20,EUROPE,Retail,C3,New,3841,159543
385,24/8/20,CANADA,Retail,F1,Existing,24088,1298505
386,24/8/20,CANADA,Retail,null,Guest,394587,10941951
387,24/8/20,USA,Shopify,F3,Existing,974,207813
388,24/8/20,AFRICA,Retail,F1,Existing,98813,5239692
389,24/8/20,OCEANIA,Retail,C2,New,112315,3330717
390,24/8/20,USA,Retail,F1,New,12337,537132
391,24/8/20,EUROPE,Shopify,C2,New,12,3280
392,24/8/20,USA,Retail,C3,Existing,103120,5765461
393,24/8/20,EUROPE,Retail,C4,Existing,4953,266237
394,24/8/20,CANADA,Shopify,F3,Existing,650,131072
395,24/8/20,CANADA,Shopify,C1,New,80,10467
396,24/8/20,SOUTH AMERICA,Shopify,C2,Existing,124,25194
397,24/8/20,USA,Retail,C3,New,47022,1797843
398,24/8/20,SOUTH AMERICA,Retail,C3,New,952,38345
399,24/8/20,ASIA,Retail,C1,Existing,188753,6315069
400,24/8/20,EUROPE,Retail,null,New,2962,129020
401,24/8/20,AFRICA,Retail,C2,New,58705,1860988
402,24/8/20,AFRICA,Shopify,F3,Existing,2331,486331
403,24/8/20,ASIA,Shopify,F1,New,208,28542
404,24/8/20,SOUTH AMERICA,Shopify,C3,Existing,91,18712
405,24/8/20,OCEANIA,Retail,C3,New,155586,5133194
406,24/8/20,ASIA,Retail,C2,New,87964,2462103
407,24/8/20,EUROPE,Retail,C4,New,1374,50412
408,24/8/20,USA,Retail,C1,New,37271,1064389
409,24/8/20,USA,Retail,null,Existing,13157,697708
410,24/8/20,AFRICA,Retail,C3,New,111964,3967870
411,24/8/20,ASIA,Retail,F1,New,31513,1032953
412,24/8/20,OCEANIA,Shopify,C2,Existing,4527,863537
413,24/8/20,USA,Shopify,F1,Existing,1334,258305
414,24/8/20,EUROPE,Retail,C1,New,4520,135256
415,24/8/20,CANADA,Shopify,C3,New,106,16974
416,24/8/20,OCEANIA,Retail,null,Existing,45824,1869997
417,24/8/20,ASIA,Shopify,null,Guest,5867,976399
418,24/8/20,EUROPE,Shopify,F2,Existing,216,47335
419,24/8/20,CANADA,Retail,null,Existing,7536,360482
420,24/8/20,CANADA,Shopify,F1,Existing,769,133782
421,24/8/20,OCEANIA,Shopify,C3,New,536,86927
422,24/8/20,ASIA,Shopify,F3,New,115,17670
423,24/8/20,SOUTH AMERICA,Retail,C2,Existing,987,38556
424,24/8/20,SOUTH AMERICA,Shopify,C4,New,4,486
425,24/8/20,ASIA,Retail,null,Guest,1912461,48873892
426,24/8/20,OCEANIA,Retail,F2,New,92755,3192813
427,24/8/20,OCEANIA,Shopify,F2,New,413,64341
428,24/8/20,USA,Shopify,F1,New,130,20685
429,24/8/20,USA,Retail,null,Guest,527116,16395314
430,24/8/20,ASIA,Shopify,F3,Existing,1879,387214
431,24/8/20,OCEANIA,Shopify,F1,New,365,55996
432,24/8/20,OCEANIA,Shopify,F1,Existing,4361,836190
433,24/8/20,EUROPE,Shopify,null,Guest,370,89676
434,24/8/20,CANADA,Retail,C3,Existing,62514,3154333
435,24/8/20,CANADA,Shopify,null,Guest,1697,288470
436,24/8/20,OCEANIA,Shopify,F3,Existing,3720,777026
437,24/8/20,AFRICA,Retail,C1,New,99449,2478289
438,24/8/20,ASIA,Shopify,null,Existing,375,70227
439,24/8/20,CANADA,Retail,F3,Existing,94749,5212768
440,24/8/20,USA,Shopify,C2,Existing,1367,267523
441,24/8/20,ASIA,Shopify,C3,Existing,2056,408353
442,24/8/20,OCEANIA,Shopify,C1,New,478,67176
443,24/8/20,SOUTH AMERICA,Retail,C3,Existing,1355,64705
444,24/8/20,EUROPE,Shopify,F2,New,4,679
445,24/8/20,OCEANIA,Shopify,C3,Existing,4465,914171
446,24/8/20,AFRICA,Shopify,F1,New,190,29672
447,24/8/20,SOUTH AMERICA,Retail,C4,Existing,363,17632
448,24/8/20,AFRICA,Retail,F1,New,23414,885333
449,24/8/20,CANADA,Shopify,C4,New,14,1685
450,24/8/20,SOUTH AMERICA,Shopify,null,Guest,2035,386494
451,24/8/20,OCEANIA,Retail,F3,New,112414,3787305
452,24/8/20,EUROPE,Shopify,F3,New,2,318
453,24/8/20,ASIA,Retail,C4,Existing,110173,4928018
454,24/8/20,USA,Retail,F3,Existing,143829,8667351
455,24/8/20,SOUTH AMERICA,Retail,F3,New,325,11312
456,24/8/20,CANADA,Shopify,F2,New,104,17346
457,24/8/20,AFRICA,Shopify,F3,New,120,18969
